vessel_id,lon,lat,speed,dt,dt_min,dt_max
ce1b88a7983b03e73811ccc8ea111f6879a89ae04eca20ee8f6a8c1c080917b5,23.6363,37.93986,0.1,2019-04-29 20:40:00,2019-04-29 20:39:30,2019-04-29 20:40:30
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64105,37.94778,0.1,2019-04-29 20:40:05,2019-04-29 20:39:35,2019-04-29 20:40:35
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.63036,37.94027,9.9,2019-04-29 20:40:05,2019-04-29 20:39:35,2019-04-29 20:40:35
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.6304,37.94029,9.9,2019-04-29 20:40:07,2019-04-29 20:39:37,2019-04-29 20:40:37
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.6307,37.94039,10,2019-04-29 20:40:11,2019-04-29 20:39:41,2019-04-29 20:40:41
5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,23.62658,37.9393,10,2019-04-29 20:40:11,2019-04-29 20:39:41,2019-04-29 20:40:41
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64105,37.94778,0.1,2019-04-29 20:40:15,2019-04-29 20:39:45,2019-04-29 20:40:45
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.631,37.94048,10.1,2019-04-29 20:40:17,2019-04-29 20:39:47,2019-04-29 20:40:47
5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,23.62708,37.93945,10.1,2019-04-29 20:40:21,2019-04-29 20:39:51,2019-04-29 20:40:51
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.63135,37.94059,10.1,2019-04-29 20:40:23,2019-04-29 20:39:53,2019-04-29 20:40:53
