id_,vessel_id,dt,lon,lat,heading,course,speed,geom
51909,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:18:12,23.69056,37.8028,333,332,16.8,0101000020E6100000FFEC478AC8B03740499D8026C2E64240
52009,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:18:49,23.68887,37.80526,334,332,16.7,0101000020E61000000E32C9C859B0374073637AC212E74240
52169,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:19:37,23.68665,37.80854,333,332,16.7,0101000020E610000064CC5D4BC8AF374001C11C3D7EE74240
52354,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:20:37,23.68386,37.81264,333,332,16.7,0101000020E6100000E50AEF7211AF3740F2B5679604E84240
52399,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:20:49,23.68327,37.81352,333,332,16.7,0101000020E6100000825660C8EAAE37402A52616C21E84240
55303,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:37:13,23.63848,37.87956,335,334,16.4,0101000020E61000006C26DF6C73A33740546F0D6C95F04240
55341,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:37:25,23.63803,37.88031,335,334,16.4,0101000020E6100000ECDD1FEF55A33740BF2B82FFADF04240
52511,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:21:12,23.68222,37.81509,334,332,16.7,0101000020E610000058AD4CF8A5AE3740F8A57EDE54E84240
52550,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:21:25,23.68163,37.81597,334,332,16.6,0101000020E6100000F4F8BD4D7FAE3740314278B471E84240
55470,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:38:01,23.6365,37.88284,335,334,16.4,0101000020E61000006DE7FBA9F1A23740E2CCAFE600F14240
55509,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:38:13,23.63599,37.88366,335,334,16.4,0101000020E610000042959A3DD0A23740456458C51BF14240
55548,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:38:25,23.63554,37.88442,335,334,16.4,0101000020E6100000C24CDBBFB2A23740D3F6AFAC34F14240
55581,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:38:36,23.63504,37.88524,335,334,16.4,0101000020E6100000DFA63FFB91A23740378E588B4FF14240
55692,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:39:13,23.63351,37.88777,335,334,16.4,0101000020E610000060B01BB62DA237405A2F8672A2F14240
55728,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:39:25,23.63305,37.88852,335,334,16.4,0101000020E610000099BB96900FA23740C4EBFA05BBF14240
53035,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:23:49,23.67489,37.8256,332,331,16.5,0101000020E6100000BF654E97C5AC3740EFC9C342ADE94240
53075,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:24:01,23.67432,37.8264,332,330,16.4,0101000020E6100000EA094B3CA0AC37400BB5A679C7E94240
55768,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:39:36,23.63256,37.88934,335,334,16.4,0101000020E6100000FDC1C073EFA137402783A3E4D5F14240
55840,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:40:01,23.63155,37.891,335,334,16.4,0101000020E6100000EFC9C342ADA13740355EBA490CF24240
55886,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:40:13,23.63102,37.89189,335,335,16.4,0101000020E6100000361FD7868AA1374091D0967329F24240
55928,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:40:25,23.63058,37.89264,335,335,16.4,0101000020E6100000FD82DDB06DA13740FC8C0B0742F24240
64427,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:17:55,23.63698,37.94033,135,134,2.9,0101000020E6100000C2340C1F11A337404EB9C2BB5CF84240
55972,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:40:36,23.63008,37.89345,335,335,16.4,0101000020E61000001ADD41EC4CA137403C4ED1915CF24240
56022,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:40:49,23.62955,37.89435,335,335,16.4,0101000020E6100000613255302AA13740BC96900F7AF24240
64453,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:18:02,23.63705,37.94027,138,137,2.8,0101000020E6100000B3EA73B515A3374078B471C45AF84240
56102,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:41:13,23.62861,37.89594,336,335,16.4,0101000020E610000045F0BF95ECA03740D1967329AEF24240
56148,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:41:25,23.62812,37.89677,336,335,16.4,0101000020E6100000A9F6E978CCA037405704FF5BC9F24240
56193,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:41:36,23.62764,37.89759,335,335,16.4,0101000020E610000054A9D903ADA03740BB9BA73AE4F24240
64538,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:18:22,23.63721,37.94007,146,148,2.4,0101000020E610000025AFCE3120A33740B1F9B83654F84240
64595,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:18:35,23.63726,37.93995,151,154,2.3,0101000020E6100000890CAB7823A3374007F0164850F84240
64624,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:18:42,23.63728,37.93989,154,160,2.2,0101000020E6100000176536C824A3374031EBC5504EF84240
56237,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:41:49,23.62711,37.89848,335,335,16.4,0101000020E61000009BFEEC478AA03740170E846401F34240
56279,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:42:01,23.62666,37.89924,335,335,16.4,0101000020E61000001CB62DCA6CA03740A5A0DB4B1AF34240
56325,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:42:13,23.62617,37.90006,335,335,16.4,0101000020E61000007FBC57AD4CA037400938842A35F34240
64660,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:18:50,23.6373,37.93983,157,164,2.1,0101000020E6100000A5BDC11726A337405CE674594CF84240
64687,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:18:55,23.6373,37.93977,159,169,2,0101000020E6100000A5BDC11726A3374087E123624AF84240
64715,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:19:02,23.63731,37.93972,162,174,2,0101000020E6100000EC6987BF26A33740D5B2B5BE48F84240
64745,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:19:09,23.63731,37.93967,165,177,1.9,0101000020E6100000EC6987BF26A337402384471B47F84240
64773,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:19:15,23.63731,37.93961,168,180,1.9,0101000020E6100000EC6987BF26A337404E7FF62345F84240
64801,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:19:22,23.6373,37.93956,170,184,1.8,0101000020E6100000A5BDC11726A337409C50888043F84240
56374,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:42:25,23.62568,37.90088,335,335,16.3,0101000020E6100000E3C281902CA037406CCF2C0950F34240
64821,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:19:28,23.63728,37.93951,173,187,1.8,0101000020E6100000176536C824A33740EA211ADD41F84240
64850,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:19:35,23.63726,37.93945,175,189,1.7,0101000020E6100000890CAB7823A33740151DC9E53FF84240
64880,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:19:42,23.63724,37.93939,178,192,1.7,0101000020E6100000FAB31F2922A33740401878EE3DF84240
64913,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:19:50,23.6372,37.9393,180,194,1.7,0101000020E6100000DE02098A1FA3374000917EFB3AF84240
64958,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:20:02,23.63719,37.93919,182,191,1.7,0101000020E6100000975643E21EA33740795DBF6037F84240
65019,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:20:15,23.63718,37.9391,184,187,1.8,0101000020E610000050AA7D3A1EA3374039D6C56D34F84240
65042,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:20:22,23.63717,37.93905,185,185,1.7,0101000020E610000009FEB7921DA3374087A757CA32F84240
65062,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:20:28,23.63716,37.939,185,186,1.7,0101000020E6100000C251F2EA1CA33740D578E92631F84240
65138,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:20:50,23.63713,37.93886,188,190,1.6,0101000020E6100000EC4CA1F31AA33740E3C281902CF84240
65211,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:21:09,23.63706,37.93873,192,203,1.6,0101000020E6100000FB96395D16A3374015E3FC4D28F84240
65234,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:21:15,23.63704,37.93869,193,204,1.6,0101000020E61000006C3EAE0D15A33740878A71FE26F84240
65263,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:21:22,23.63702,37.93866,194,204,1.5,0101000020E6100000DEE522BE13A337401C08C90226F84240
